ticker,signal_date,entry_price,pump_score,volume,vol_z,vol_ratio,signal_return,gap_up,volatility,return_1d,return_5d,return_10d,return_20d,max_drawdown_20d,days_to_bottom,max_gain_20d,days_to_peak,classification
VSEE,2025-10-28,1.059999942779541,120,337745200,3.275418606457282,9.991938291988852,0.715210344126179,2.8673142629865507,1.4056604609090748,0.3018868582322566,-0.037735815105932,,,-0.0801886071001056,3.0,0.3018868582322566,1,insufficient_data
VSEE,2025-10-21,0.9449999928474426,120,263334900,4.16049293626454,16.462932833196575,0.9364753734191258,0.1905736961411066,0.4603174658373708,-0.2645502665526041,0.121693069632291,0.0793650673510415,,-0.3460317718619274,6.0,0.4603174663244792,8,insufficient_data
ORIS,2025-09-15,0.1829999983310699,120,77295900,3.138848877168476,4.768421627327157,0.3555554893281751,0.1851851102274654,0.3387977691954779,-0.2349726673616199,0.2459016513580983,0.1092895956834511,-0.0765027251211269,-0.2349726673616199,1.0,0.7923497926295762,8,confirmed_pump
ORIS,2025-08-08,0.1360000073909759,120,838279900,4.1544435134781565,12.698936342006627,0.5111111331869045,0.9444443235716516,0.6029411559243512,-0.198529474604807,-0.110294170819452,-0.1911765189267746,-0.1764706075707098,-0.2352941434276131,6.0,0.0,0,confirmed_pump
FEMY,2025-10-06,0.8389999866485596,120,80712200,4.038771770345512,12.714757522745655,0.3317460206330467,0.412698400029298,0.2610250830856597,-0.1096543612555878,-0.3647199036322886,-0.283671012477618,-0.2169248918946491,-0.3647199036322886,7.0,0.0,0,confirmed_pump
FEMY,2025-10-03,0.6299999952316284,120,26508900,3.4312867770825863,8.1579024303926,0.5180723081913516,0.0602409792841286,0.371428569487423,0.3317460206330467,-0.0269841582206253,0.1158730386996877,0.0111111573651567,-0.1539682596749219,10.0,0.3317460206330467,3,likely_pump
AGL,2025-04-08,5.360000133514404,120,21198700,3.857928338359411,3.7623804550097297,0.2611765020033891,0.2729411405033337,0.1679104613397492,-0.0335821456515076,0.0317164313543553,-0.2686567204012904,-0.3675373096154299,-0.3675373096154299,29.0,0.0597014341144062,3,likely_pump
MBRX,2025-07-08,0.5210000276565552,120,92491800,3.8909274873946185,9.394245945896532,0.3393316955590861,0.1285347351574926,0.5182340999533773,0.0978886685970486,0.2072936174983669,0.489443342985243,0.3147792054163573,0.0,,0.6046064892408474,9,likely_legit
IXHL,2025-07-15,0.3400000035762787,120,559936700,4.170745806908091,9.96036748661024,0.4406779725227641,0.0593220272258714,0.4029411549188283,0.1411764922439018,1.470588132171896,2.1470589446980224,0.2411764308861799,0.0,,3.794117582607435,9,likely_legit
CHGG,2025-06-06,1.6299999952316284,120,26658400,4.1073897671711785,5.552451004385365,0.3471073916062475,0.1652891917387229,0.282208539878006,0.0736196350425873,-0.1717791240545259,-0.1411043065928368,-0.1595091970698502,-0.2576686860817888,24.0,0.0736196350425873,3,confirmed_pump
ATCH,2025-07-31,0.2199999988079071,120,291442900,4.248040130402845,17.71013792611025,0.4666666004392863,0.1666665993281756,0.768181817768835,-0.2772727488239935,-0.163636357478859,-0.0227272511760064,-0.1136363913451346,-0.2772727488239935,1.0,0.0863636086548653,15,confirmed_pump
IXHL,2025-05-14,0.699999988079071,120,1525152300,4.247971491678561,19.22324300403698,7.235293890778172,3.1999998396375,0.887142901977879,-0.6157142880254862,-0.6771428572644993,-0.6857142820650217,-0.6657142837680116,-0.7442857026080694,22.0,0.0,0,confirmed_pump
ATCH,2025-02-24,5.559999942779541,120,146448400,4.248418501431865,19.361007074215134,1.365957518474397,0.7106383588744944,1.6528776390843238,-0.3129496452237168,-0.595323736842489,-0.7320143840160066,-0.8201438830411062,-0.8201438830411062,28.0,0.0,0,confirmed_pump
ATCH,2025-09-12,0.3899999856948852,120,281071800,4.230468721509673,13.251662340546256,0.5354329655445271,0.1062991308790292,0.3974359140513419,1.538461656024945,1.3512821265226314,1.0256411549607725,0.0512820806729028,-0.0692307210297726,26.0,3.1538463184349226,5,likely_legit
ATCH,2025-09-15,0.9900000095367432,120,498117700,3.6814946915632976,11.05975854125614,1.538461656024945,1.3076923278519317,0.5151514398288825,-0.126262625046329,-0.4202020248239496,-0.2646464866614439,-0.588888887550962,-0.633333331326443,23.0,0.6363636254169616,2,confirmed_pump
ORIS,2025-05-13,1.3300000429153442,120,15551500,4.248378140893072,18.704071200914044,0.3825364093295023,0.1226611526758759,0.2030075873839512,-0.210526377115976,-0.3466165491708277,-0.3413534143914648,-0.3383458895966056,-0.3676691779193211,17.0,0.0,0,confirmed_pump
ORIS,2025-02-24,1.3600000143051147,120,45900300,4.243630568862978,17.633344089987087,0.2142857218883476,0.4285714433940419,0.7169117741687066,-0.0514706262616133,-0.0808823626088847,-0.0808823626088847,-0.1470588570441338,-0.1911764615650409,18.0,0.0,0,likely_pump
ORIS,2025-09-22,0.2280000001192093,120,262441600,4.008358204612638,8.177390078042125,0.4339623154306027,0.2578616966664409,0.4649123056076705,0.438596530212333,-0.1096491488920757,-0.2631579050562058,-0.3333333551186567,-0.3552631587546838,18.0,0.438596530212333,1,likely_pump
VRME,2025-07-31,1.3899999856948853,120,175136300,4.2300513556873005,18.187598753197875,1.025648411130624,0.7924802937864711,0.3165468067857198,-0.1294963664750884,-0.3386330725165553,-0.367697841325573,-0.3420143711516947,-0.4366906471735177,11.0,0.0,0,confirmed_pump
