episode_key,ticker,start_date,end_date,signal_count,avg_pump_score,avg_price,avg_drawdown,avg_return_20d,pump_count,duration_days,episode_pump_rate
MBRX_E3,MBRX,2025-02-04,2025-02-14,6,74.16666666666667,1.1698333422342937,-0.4289002968793296,0.2131021856335844,6,10,100.0
NAKA_E5,NAKA,2025-09-05,2025-09-16,6,82.5,3.706666628519694,-0.6426152269353824,-0.6401642488348306,6,11,100.0
VRME_E2,VRME,2024-12-26,2025-01-15,7,77.14285714285714,2.356999967779432,-0.37367760176536813,-0.21064232279648162,5,20,71.42857142857143
IXHL_E7,IXHL,2025-07-15,2025-07-24,5,89.0,0.7576000034809113,-0.38257257303073067,-0.267231692748364,4,9,80.0
ATCH_E7,ATCH,2025-09-11,2025-09-25,6,89.16666666666667,0.7915000021457672,-0.421976585769346,-0.2233266828768005,4,14,66.66666666666666
SHOT_E10,SHOT,2025-09-25,2025-10-06,4,85.0,0.32020000368356705,-0.2962721743507075,-0.28045898306183886,4,11,100.0
NAKA_E3,NAKA,2025-05-02,2025-05-21,7,90.0,8.871428455625262,-0.15659337917991123,3.1215621066795736,3,19,42.857142857142854
LBGJ_E2,LBGJ,2025-02-26,2025-02-28,3,101.66666666666667,1.8566666841506958,-0.3368861830609897,-0.3232109827618784,3,2,100.0
OPI_E6,OPI,2025-09-11,2025-09-15,3,110.0,0.5799999932448069,-0.8601542327469774,-0.8590744335440296,3,4,100.0
ATCH_E2,ATCH,2025-02-21,2025-02-27,3,78.33333333333333,3.7966666221618652,-0.7200980914057916,-0.7172612145635008,3,6,100.0
AIRE_E7,AIRE,2025-09-08,2025-09-12,4,95.0,0.9627500101923943,-0.34510024031247577,-0.24123369646637954,3,4,75.0
XHLD_E1,XHLD,2025-03-18,2025-03-24,4,86.25,1.4312500208616257,-0.4253170312577814,-0.32525250856139926,3,6,75.0
NAKA_E4,NAKA,2025-08-04,2025-08-11,3,83.33333333333333,10.476666450500488,-0.6055841425904909,-0.44895555453430597,3,7,100.0
ORIS_E10,ORIS,2025-09-15,2025-09-23,3,116.66666666666667,0.24633333583672842,-0.38678592707133935,-0.3266526784458326,3,8,100.0
PPBT_E4,PPBT,2025-08-29,2025-09-04,3,55.0,1.3966666460037231,-0.5345964165445642,-0.5224136514372449,3,6,100.0
PCSA_E2,PCSA,2025-01-28,2025-01-30,3,73.33333333333333,0.6119999885559082,-0.13191310001725368,-0.10755545429737078,3,2,100.0
ORIS_E8,ORIS,2025-07-22,2025-07-24,3,71.66666666666667,0.1809999992450078,-0.49654551222175947,-0.3555525717845525,3,2,100.0
EHGO_E5,EHGO,2025-08-26,2025-08-28,2,60.0,0.7405000030994415,-0.15597531083376354,-0.13301694128644115,2,2,100.0
EHGO_E6,EHGO,2025-10-07,2025-10-09,3,55.0,0.6263333360354105,-0.4392942322858841,-0.341245349807733,2,2,66.66666666666666
AIRE_E4,AIRE,2025-05-15,2025-05-16,2,77.5,0.6375000178813934,-0.33677183164015057,-0.32723976320617004,2,1,100.0
ARBK_E3,ARBK,2025-05-14,2025-05-16,2,67.5,0.44449999928474426,-0.21075194903155525,-0.14675727457517856,2,2,100.0
ARBK_E6,ARBK,2025-10-01,2025-10-06,3,98.33333333333333,0.5330000023047129,-0.2620664721646851,-0.20386368263019014,2,5,66.66666666666666
ATCH_E1,ATCH,2025-01-02,2025-01-06,2,65.0,10.400000095367432,-0.6148953060548263,-0.5975795523001551,2,4,100.0
AIRE_E1,AIRE,2024-12-19,2024-12-26,2,120.0,2.5199999809265137,-0.3587280866974371,-0.1427068427758224,2,7,100.0
AIRE_E6,AIRE,2025-07-18,2025-07-24,3,100.0,0.4976666768391927,-0.2977163310007498,0.05875425088221561,2,6,66.66666666666666
ATCH_E4,ATCH,2025-05-08,2025-05-12,2,72.5,0.3200000077486038,-0.40494252244695567,-0.3344017822719087,2,4,100.0
ACET_E6,ACET,2025-10-06,2025-10-07,2,77.5,0.926499992609024,-0.2305451196701272,-0.2305451196701272,2,1,100.0
ORIS_E1,ORIS,2024-12-05,2024-12-06,2,80.0,29.814999103546143,-0.7985435146772832,-0.7486784473966583,2,1,100.0
MOBX_E8,MOBX,2025-10-03,2025-10-06,2,72.5,1.0175000131130219,-0.34804815601803435,-0.32802140834248383,2,3,100.0
FEMY_E10,FEMY,2025-10-03,2025-10-06,2,120.0,0.734499990940094,-0.25934408165360523,-0.10290686726474621,2,3,100.0
CENN_E8,CENN,2025-06-23,2025-06-25,2,55.0,0.7611999809741974,-0.1901822899095961,-0.18061894629168995,2,2,100.0
PCSA_E1,PCSA,2024-12-09,2024-12-10,2,87.5,1.2900000214576721,-0.3505383463979837,-0.3344751852054282,2,1,100.0
ORIS_E9,ORIS,2025-08-04,2025-08-08,2,102.5,0.1335000023245811,-0.27413560049255625,-0.11113605715850579,2,4,100.0
MOBX_E7,MOBX,2025-08-26,2025-09-02,3,73.33333333333333,1.0833333532015483,-0.23252447450205968,-0.22376414852983553,2,7,66.66666666666666
MOBX_E1,MOBX,2024-12-18,2024-12-24,2,67.5,2.0700000524520874,-0.4673559629639852,-0.41085174208210495,2,6,100.0
SHOT_E7,SHOT,2025-07-01,2025-07-07,2,60.0,0.4504999965429306,-0.1560423704703638,0.8628284815697466,2,6,100.0
PCSA_E8,PCSA,2025-10-06,2025-10-08,3,106.66666666666667,0.3726666768391927,-0.2169954439950054,-0.017741730816817625,2,2,66.66666666666666
SGMO_E1,SGMO,2024-12-16,2024-12-19,2,82.5,2.4800000190734863,-0.586767958216398,-0.543535083236307,2,3,100.0
