ticker,signal_date,entry_price,pump_score,volume,vol_z,vol_ratio,signal_return,gap_up,volatility,return_1d,return_5d,return_10d,return_20d,max_drawdown_20d,days_to_bottom,max_gain_20d,days_to_peak,classification
VSEE,2025-01-13,1.6699999570846558,110,7045300,4.236510323397728,13.601227822930918,0.26515143236728966,0.007575750044179683,0.47305388124625364,-0.07784431052236156,-0.07784431052236156,-0.041916128767450864,0.023952144964210442,-0.17964069462612361,2,0.05389223694096106,25,likely_pump
VSEE,2025-03-26,1.2999999523162842,90,228500,2.6149604079685043,3.4035897817829235,0.12068964631322143,0.06034487448790519,0.15384610435118007,-0.06153840510802654,-0.07692300638503319,-0.10384615031925166,-0.023076901915509953,-0.2,12,0.0,0,likely_pump
VSEE,2025-05-27,1.2799999713897705,100,190800,4.023401773469445,6.35258864657878,0.17431186439714064,0.036697211551769304,0.11796877042603782,0.031250064028428434,-0.12499997671693511,-0.10234369193785695,-0.171875026193448,-0.21093748981365912,17,0.031250064028428434,1,likely_pump
VSEE,2025-06-23,1.1200000047683716,65,17093100,4.248175471617869,18.84731372494967,0.027522908689077363,0.11009174402162517,0.3035713503733921,-0.03571425150243618,0.03571425150243618,0.026785688626827134,0.25892853626639273,-0.053571483690519485,2,0.25892853626639273,29,uncertain
VSEE,2025-07-14,1.3799999952316284,110,22994800,3.363184017824506,11.114666460434918,0.13114751054855622,0.31147539836784455,0.2971014258992663,-0.04347821955569661,-0.007246369925949435,-0.036231849629747175,-0.36231884183164553,-0.36231884183164553,28,0.05072467586518949,9,likely_pump
VSEE,2025-08-11,0.8799999952316284,55,1449000,3.789748094232787,8.824066743803613,-0.33333336343668807,-0.5075757948204239,0.2909090721059984,0.005681812794001605,-0.07954544684857372,-0.0568181956725673,-0.23522729350885094,-0.31818178739429487,18,0.005681812794001605,1,likely_pump
VSEE,2025-10-15,0.6010000109672546,55,462000,3.6312987497330833,4.888371600888743,0.0,0.03161396576170477,0.16638938743865847,-0.13810316601817277,0.15640595701305163,1.296172995089708,,-0.20632281299801739,2,1.296172995089708,14,insufficient_data
VSEE,2025-10-16,0.5180000066757202,65,54051700,4.248382822059987,19.335391417574076,-0.13810316601817274,0.11314478742531896,1.2779922599755331,-0.07915059470015758,0.29343630898587186,1.2200771454392436,,-0.07915059470015758,1,1.6640926205538444,13,insufficient_data
VSEE,2025-10-21,0.9449999928474426,120,263334900,4.16049293626454,16.462932833196575,0.9364753734191258,0.19057369614110664,0.4603174658373708,-0.26455026655260416,0.12169306963229105,0.07936506735104153,,-0.3460317718619274,6,0.46031746632447923,8,insufficient_data
VSEE,2025-10-28,1.059999942779541,120,337745200,3.275418606457282,9.991938291988852,0.715210344126179,2.8673142629865507,1.4056604609090748,0.3018868582322566,-0.03773581510593208,,,-0.08018860710010567,3,0.3018868582322566,1,insufficient_data
VSEE,2025-10-29,1.3799999952316284,60,80230500,0.4561734855503053,2.121954073984934,0.3018868582322567,0.2735849966447084,0.2463768364543772,-0.1666666810639239,-0.2391304667069617,,,-0.2934782411515825,2,0.0,0,insufficient_data
