Date,Close,High,Low,Open,Volume,vol_z,vol_ratio,vol_trend,return,price_z,gap_up,volatility,momentum,pump_score,flag,ticker,date,catalyst
2025-07-21,4.099999904632568,4.559999942779541,3.494999885559082,3.494999885559082,14632500,4.156317998550093,7.239726095174007,1.943131104228306,0.1714285441807337,3.54874629277886,-0.0014286041255683,0.259756117495848,0.0122962453566026,100.0,True,BYND,2025-07-21,unknown
2025-10-01,2.309999942779541,2.430000066757202,1.950000047683716,1.965000033378601,20834000,0.9615086356774136,3.0720548292631134,3.061930643577349,0.222222201197656,2.14822623611607,0.039682565191374,0.2077922211063465,-0.0968737994995692,80.0,True,BYND,2025-10-01,unknown
2025-10-17,0.6460000276565552,0.753000020980835,0.550000011920929,0.6079999804496765,438222600,3.659269165425885,7.630449005781308,3.393078362602629,0.2423077910609534,1.696463543629556,0.1692307741956787,0.3142414861529838,-0.6295394548543369,105.0,True,BYND,2025-10-17,unknown
2025-10-20,1.4700000286102295,1.5299999713897705,0.8809999823570251,1.0199999809265137,1202828700,3.9390675377627713,10.23799275441822,3.4877230857568047,1.2755417425334112,3.668998532762783,0.5789472704014306,0.4414965822856668,-0.5704902411050494,120.0,True,BYND,2025-10-20,unknown
2025-10-21,3.619999885559082,3.859999895095825,1.9299999475479128,2.309999942779541,2071569300,3.5954878018839143,9.37571142874115,3.627334115936536,1.462584908233988,2.9122493233496902,0.5714285015300561,0.533149173488631,-0.2865677784065121,120.0,True,BYND,2025-10-21,unknown
2025-06-23,8.09000015258789,8.79699993133545,6.380000114440918,6.840000152587891,122300,3.391434218816473,5.372282011860076,1.6314517900284808,0.2276175971575584,2.8849384168996823,0.0379362661871697,0.2987638777513,0.0932038706641353,110.0,True,CIGL,2025-06-23,unknown
2025-06-27,9.619999885559082,10.079999923706056,7.900000095367432,8.050000190734863,878100,3.577451589617043,8.057441732427895,3.510368875022908,0.1818181179132716,1.7214467749943714,-0.0110565293342599,0.2266112114392522,0.2322496756871184,85.0,True,CIGL,2025-06-27,unknown
2025-06-30,14.710000038146973,26.950000762939453,8.84000015258789,24.5,322300,0.9038440319679456,2.5865735724890446,3.391196179928547,0.5291060512618786,3.343276291072556,1.5467775769135952,1.2311353203369368,0.3370083960321119,75.0,True,CIGL,2025-06-30,unknown
2025-07-02,18.63999938964844,20.0,11.850000381469728,11.859999656677246,748400,1.7797839685859846,3.620356037151685,3.2256191950464244,0.5093116448495334,2.4283331525955574,-0.0396761708192345,0.4372317534848779,0.5388905798674166,80.0,True,CIGL,2025-07-02,unknown
2025-09-04,2.9100000858306885,4.739999771118164,2.609999895095825,3.670000076293945,133524700,4.248528662242436,19.90395694981702,3.9863127846223785,0.9795918565946335,4.158044968007506,1.4965986417476778,0.7319586984418767,-0.0078868508297135,120.0,True,CIGL,2025-09-04,hype
2025-10-02,4.5,5.449999809265137,3.5299999713897705,3.839999914169312,50163400,3.929336010009217,11.50878529287942,2.802350698200497,0.7509728081284224,2.9344146945289338,0.4941634293468164,0.4266666305441554,-0.1037589599640363,120.0,True,CIGL,2025-10-02,unknown
2025-07-28,1.3600000143051147,1.4500000476837158,1.1950000524520874,1.2000000476837158,27077000,3.191863402091006,3.1656010222703888,1.1575224673847342,0.152542436235908,2.290032692638178,0.0169492381422685,0.1874999943837643,0.1918063306946758,90.0,True,SES,2025-07-28,unknown
2025-09-18,1.5800000429153442,1.5800000429153442,1.3350000381469729,1.350000023841858,18911000,3.642138033431876,3.873803839390056,1.626325724405005,0.2153846929764635,3.2700315409085423,0.0384615948623876,0.1550632898472872,0.1523972677284797,110.0,True,SES,2025-09-18,company
2025-09-22,1.850000023841858,1.8799999952316284,1.6100000143051147,1.7100000381469729,29876700,3.1153664736255062,4.228856214331008,2.183658506205272,0.1708860592359997,2.14663155098765,0.0822784757078106,0.1459459336761867,0.2331437897226418,110.0,True,SES,2025-09-22,unknown
2025-06-16,0.3869999945163727,0.3899999856948852,0.3100000023841858,0.3199999928474426,702100,3.2457739231679184,3.957722660653868,1.5599774520856733,0.1981423465886307,2.4413676521622447,-0.0092879902263469,0.206718305523378,-0.0404244543563571,100.0,True,ONMD,2025-06-16,unknown
2025-06-24,0.6819999814033508,0.9100000262260436,0.5080000162124634,0.6100000143051147,495973600,4.248524870629798,19.85885846326697,3.975225556187745,1.0058822771463434,4.007129806314665,0.7941176679256832,0.5894428451404682,0.0528168821726489,120.0,True,ONMD,2025-06-24,unknown
2025-08-14,0.9589999914169312,1.2000000476837158,0.492000013589859,0.492000013589859,319740400,4.248524556055284,19.857851399810947,3.975464336774429,0.9979166934421912,4.189688973249312,0.0250000511706593,0.7382690716289907,0.0844273894527496,110.0,True,ONMD,2025-08-14,unknown
2025-10-06,2.559999942779541,3.670000076293945,1.409999966621399,1.434999942779541,285238100,4.2485059176759385,19.60326558327045,3.934998975983021,1.4854369066878266,4.216964735164908,0.3932038662584655,0.8828125622283882,0.3041588039639604,120.0,True,ONMD,2025-10-06,company
2025-06-11,0.4000000059604645,0.4000000059604645,0.3389999866485595,0.3650000095367431,2921700,3.2470494120439497,5.43006356168456,1.6490354235587077,0.1019283744294763,1.6503780999845072,0.0055096529404774,0.1525000456260843,-0.0460060640953574,85.0,True,DFLI,2025-06-11,unknown
2025-06-20,0.2520000040531158,0.4000000059604645,0.2430000007152557,0.375,334373200,4.229908171847099,17.068757280582016,3.920516718411335,0.155963349157729,1.7162636411386625,0.7201835243235695,0.6230158813374496,-0.3142530126534251,95.0,True,DFLI,2025-06-20,unknown
