ticker,signal_date,entry_price,pump_score,volume,vol_z,vol_ratio,signal_return,gap_up,volatility,return_1d,return_5d,return_10d,return_20d,max_drawdown_20d,days_to_bottom,max_gain_20d,days_to_peak,classification
ACET,2025-08-08,0.6209999918937683,55,2370800,3.890187593250095,5.925814837032579,-0.09606985005223434,-0.010189184440033765,0.1111111215968233,-0.04025761108611854,0.05475037027346438,0.17069244377223117,0.22866348052161456,-0.04025761108611854,3,0.22866348052161456,31,uncertain
ACET,2025-10-06,1.0,100,1670000,3.5328978781069567,3.42613298319758,0.1976048211949839,0.029940163323704083,0.1899999974258142,-0.1470000147819519,-0.021000027656555176,-0.010999977588653564,-0.26999998092651367,-0.26999998092651367,28,0.039999961853027344,10,confirmed_pump
ACET,2025-10-07,0.8529999852180481,55,25899000,4.241719305869585,14.894241054483965,-0.1470000147819519,-0.05400001997316062,0.21805391854020065,0.08909734598610226,0.12543961920108113,0.0808909811462749,-0.1910902584137408,-0.1910902584137408,28,0.2192262366653821,9,likely_pump
