Date,Close,High,Low,Open,Volume,vol_z,vol_ratio,vol_trend,return,price_z,gap_up,volatility,momentum,pump_score,flag,ticker
2025-07-21,0.2669999897480011,0.296999990940094,0.1759999990463256,0.1800000071525573,94690600,4.161695350471441,9.8047399803368,2.3490782163542105,0.5705881584680625,3.757783736591517,0.0588235600024102,0.453183505942403,0.0610621932649986,110,True,DFLI
2025-10-02,1.0700000524520874,1.1299999952316284,0.675000011920929,0.718999981880188,391522000,3.583449992979417,8.906497157758642,3.645316577472105,0.7863106733514091,3.489766507171518,0.200333905097357,0.4252336080196967,0.7571428718298463,110,True,DFLI
2025-09-26,0.5239999890327454,0.5849999785423279,0.449999988079071,0.4589999914169311,186283000,4.221155016240749,13.471244800930272,3.3145714245423927,0.386243389580619,3.443933642023943,0.2142857193504011,0.2576335744869394,0.1917132295706245,110,True,DFLI
2025-07-22,0.5199999809265137,0.6700000166893005,0.4040000140666961,0.4160000085830688,692849100,4.211654983241385,16.00796228783964,3.714688459488378,0.947565546415556,3.500394114927863,0.5580525243377119,0.5115384843613234,0.3528183471414821,110,True,DFLI
2025-10-21,3.619999885559082,3.859999895095825,1.9299999475479128,2.309999942779541,2071569300,3.5954878018839143,9.37571142874115,3.627334115936536,1.462584908233988,2.9122493233496902,0.5714285015300561,0.533149173488631,-0.2865677784065121,110,True,BYND
2025-10-20,1.4700000286102295,1.5299999713897705,0.8809999823570251,1.0199999809265137,1202828700,3.9390675377627713,10.23799275441822,3.4877230857568047,1.2755417425334112,3.668998532762783,0.5789472704014306,0.4414965822856668,-0.5704902411050494,110,True,BYND
2025-10-02,4.5,5.449999809265137,3.5299999713897705,3.839999914169312,50163400,3.929336010009217,11.50878529287942,2.802350698200497,0.7509728081284224,2.9344146945289338,0.4941634293468164,0.4266666305441554,-0.1037589599640363,110,True,CIGL
2025-10-07,0.3600000143051147,0.4600000083446502,0.2560000121593475,0.395000010728836,215559000,4.149423293367425,13.836603943989608,3.4367816202625407,0.2903225668621478,2.4688125396684524,0.4157705749026916,0.5666666319789024,0.1779083462574082,110,True,PCSA
2025-09-04,2.9100000858306885,4.739999771118164,2.609999895095825,3.670000076293945,133524700,4.248528662242436,19.90395694981702,3.9863127846223785,0.9795918565946335,4.158044968007506,1.4965986417476778,0.7319586984418767,-0.0078868508297135,110,True,CIGL
2025-10-06,0.2790000140666961,0.2930000126361847,0.2080000042915344,0.2119999974966049,47823300,4.137399960857756,9.823872705199388,2.2299309582647737,0.3098592239027498,3.432552507902455,-0.0046948451835763,0.3046595116646522,0.0650306692425917,100,True,PCSA
2025-10-03,1.8899999856948853,2.2799999713897705,1.3300000429153442,1.4600000381469729,339197100,2.3866864928796057,5.58210846531024,3.1404206859041506,0.766355040229791,2.5712282906558017,0.3644859497311686,0.5026454683397787,1.0349021808491536,100,True,DFLI
2025-09-22,1.850000023841858,1.8799999952316284,1.6100000143051147,1.7100000381469729,29876700,3.1153664736255062,4.228856214331008,2.183658506205272,0.1708860592359997,2.14663155098765,0.0822784757078106,0.1459459336761867,0.2331437897226418,100,True,SES
2025-09-18,1.5800000429153442,1.5800000429153442,1.3350000381469729,1.350000023841858,18911000,3.642138033431876,3.873803839390056,1.626325724405005,0.2153846929764635,3.2700315409085423,0.0384615948623876,0.1550632898472872,0.1523972677284797,100,True,SES
2025-09-09,1.590000033378601,1.6200000047683716,1.2999999523162842,1.2999999523162842,113559800,3.823629041264528,3.8367674872912767,1.3550914967271197,0.2421875538420874,3.5194649107568057,0.0156249854358774,0.2012578902724041,0.0280015252000067,100,True,BITF
2025-06-23,8.09000015258789,8.79699993133545,6.380000114440918,6.840000152587891,122300,3.391434218816473,5.372282011860076,1.6314517900284808,0.2276175971575584,2.8849384168996823,0.0379362661871697,0.2987638777513,0.0932038706641353,100,True,CIGL
2025-10-17,0.6460000276565552,0.753000020980835,0.550000011920929,0.6079999804496765,438222600,3.659269165425885,7.630449005781308,3.393078362602629,0.2423077910609534,1.696463543629556,0.1692307741956787,0.3142414861529838,-0.6295394548543369,95,True,BYND
2025-07-21,4.099999904632568,4.559999942779541,3.494999885559082,3.494999885559082,14632500,4.156317998550093,7.239726095174007,1.943131104228306,0.1714285441807337,3.54874629277886,-0.0014286041255683,0.259756117495848,0.0122962453566026,90,True,BYND
2025-09-24,0.3389999866485595,0.3400000035762787,0.2930000126361847,0.2989999949932098,13099600,3.7758421064723913,3.294485717591078,1.3365055253481948,0.1730103160376399,2.9494548472560567,0.0346020424633535,0.1386430461726705,0.0192837307202258,90,True,DFLI
2025-07-02,1.0099999904632568,1.0199999809265137,0.8399999737739563,0.8600000143051147,52660300,3.681570377622873,3.700427310487693,1.5237522372138876,0.1966824788470598,2.8406469062784305,0.0189573847742578,0.1782178303702546,-0.0025313617019357,90,True,BITF
2025-07-28,1.3600000143051147,1.4500000476837158,1.1950000524520874,1.2000000476837158,27077000,3.191863402091006,3.1656010222703888,1.1575224673847342,0.152542436235908,2.290032692638178,0.0169492381422685,0.1874999943837643,0.1918063306946758,90,True,SES
2025-09-29,0.656000018119812,0.8080000281333923,0.5979999899864197,0.6909999847412109,162865500,2.682440394776812,7.482774257663198,3.578839616473677,0.2519084577286465,1.8329044289079328,0.3187022879485733,0.3201220000400918,0.3552386703668722,85,True,DFLI
2025-06-20,0.2520000040531158,0.4000000059604645,0.2430000007152557,0.375,334373200,4.229908171847099,17.068757280582016,3.920516718411335,0.155963349157729,1.7162636411386625,0.7201835243235695,0.6230158813374496,-0.3142530126534251,85,True,DFLI
