Close,High,Low,Open,Volume,vol_z,return,flag
42.5,45.5,41.5,43.04999923706055,928,,,False
42.5,44.95000076293945,42.5,44.95000076293945,422,,0.0,False
41.25,42.099998474121094,41.0,41.5,946,,-0.02941176470588236,False
51.599998474121094,53.5,42.29999923706055,47.0,21270,,0.25090905391808715,False
46.5,49.5,43.5,49.5,2992,,-0.09883718265377262,False
44.0,49.5,44.0,49.5,3310,,-0.053763440860215006,False
42.95000076293945,45.900001525878906,41.0,44.0,2976,,-0.02386361902410339,False
44.45000076293945,45.150001525878906,41.650001525878906,41.650001525878906,1408,,0.03492432999662043,False
43.25,44.400001525878906,41.75,42.70000076293945,3636,,-0.026996642122444348,False
45.54999923706055,46.650001525878906,43.25,43.25,3130,,0.05317917311122655,False
46.0,47.25,45.0,45.54999923706055,2172,,0.009879270482475055,False
46.75,47.400001525878906,45.75,45.75,2250,,0.016304347826086918,False
40.0,47.5,39.95000076293945,47.5,17134,,-0.14438502673796794,False
40.5,42.45000076293945,37.54999923706055,40.0,2356,,0.012499999999999956,False
40.0,40.5,38.0,39.29999923706055,1270,,-0.012345679012345734,False
41.400001525878906,42.5,40.29999923706055,41.04999923706055,1016,,0.03500003814697261,False
41.75,42.5,40.04999923706055,40.04999923706055,660,,0.008454069111623275,False
41.0,42.099998474121094,40.150001525878906,41.29999923706055,1088,,-0.017964071856287456,False
39.5,41.5,39.5,40.0,1174,,-0.03658536585365857,False
39.25,43.0,39.25,43.0,698,-0.518178448870731,-0.006329113924050667,False
40.75,41.599998474121094,38.70000076293945,38.70000076293945,1332,-0.4070324066368231,0.03821656050955413,False
41.95000076293945,42.0,40.0,40.0,998,-0.4746288082773788,0.029447871483176735,False
40.150001525878906,43.0,40.04999923706055,40.04999923706055,1056,-0.4652524075548782,-0.04290820510903892,False
43.45000076293945,43.5,41.0,41.0,3396,0.19586081743494854,0.08219175869603679,False
42.5,46.0,42.150001525878906,42.150001525878906,834,-0.49405239110919874,-0.02186422891273576,False
47.0,47.0,41.5,44.0,3668,0.2957570099174723,0.10588235294117654,False
48.0,50.0,44.54999923706055,46.5,5802,0.8376495617508717,0.02127659574468077,False
54.5,58.5,47.0,47.45000076293945,7138,1.092353610680935,0.13541666666666674,False
44.599998474121094,52.75,44.54999923706055,51.0,2782,-0.05753703809430092,-0.18165140414456704,False
43.0,44.0,42.5,44.0,768,-0.558393207874956,-0.035874406476706144,False
44.20000076293945,46.5,42.650001525878906,43.5,408,-0.6240377724047498,0.0279069944869641,False
42.5,54.95000076293945,42.5,44.25,21188,3.112034527081788,-0.038461555058724284,False
39.900001525878906,42.5,39.099998474121094,42.5,4620,0.3241557085830588,-0.061176434685202175,False
42.20000076293945,47.5,37.5,39.0,10378,1.3952689743090483,0.057644088949941,False
44.5,45.150001525878906,42.20000076293945,42.20000076293945,3782,0.02917374550981825,0.05450235060375719,False
45.0,45.75,42.79999923706055,43.650001525878906,2046,-0.33790256170410415,0.011235955056179803,False
44.5,45.0,43.0,44.0,2110,-0.34224024271482895,-0.011111111111111072,False
44.95000076293945,45.5,43.04999923706055,44.5,1986,-0.3789329991910802,0.010112376695268654,False
45.150001525878906,45.599998474121094,43.75,43.75,1506,-0.48310765530821015,0.0044494051066701346,False
45.5,46.900001525878906,44.0,44.79999923706055,1020,-0.5890070564440703,0.007751903926747072,False
44.849998474121094,46.0,43.70000076293945,46.0,748,-0.6373287252908959,-0.014285747821514372,False
44.04999923706055,45.25,42.75,43.5,1364,-0.5141243186124338,-0.017837218824481194,False
45.0,47.5,44.0,44.0,4042,0.013194778521705058,0.02156641950949667,False
45.5,47.5,44.900001525878906,45.0,2906,-0.22050723595176067,0.011111111111111072,False
48.04999923706055,49.5,44.150001525878906,44.5,2918,-0.2424095768301136,0.05604393927605589,False
51.5,53.0,46.0,49.349998474121094,3278,-0.1616971241038736,0.07180022513462392,False
46.5,50.0,46.5,50.0,860,-0.6184385220562064,-0.09708737864077666,False
46.900001525878906,48.0,45.54999923706055,46.5,1354,-0.4569793791385248,0.008602183352234505,False
42.5,46.0,42.5,45.0,4930,0.28011304597944797,-0.0938166606124956,False
45.650001525878906,47.0,42.0,42.25,4032,0.05537356773245079,0.07411768296185661,False
53.5,55.5,46.5,46.5,16322,2.1912077656664346,0.1719605303774403,False
56.0,58.0,52.5,52.5,6994,0.8373327770790808,0.04672897196261672,False
62.5,74.05000305175781,60.5,61.0,19844,2.9396267703906824,0.1160714285714286,False
70.5,71.5,61.0,61.0,6974,0.5013033794377416,0.1279999999999999,False
122.5,133.0,70.5,70.5,616304,4.24565949370348,0.7375886524822695,True
126.5,154.0,123.0,129.5,142890,0.7264285404315027,0.03265306122448974,False
157.5,195.25,102.5,137.0,82086,0.2593983940069368,0.24505928853754932,False
215.0,219.0,157.5,158.5,51270,0.019439291750471828,0.3650793650793651,False
159.0,214.39999389648438,158.0,210.0,21410,-0.20413132287838112,-0.26046511627906976,False
181.0,195.75,150.0,156.0,12336,-0.2743627903294107,0.1383647798742138,False
176.5,206.0,167.5,178.0,13638,-0.2700091319604383,-0.024861878453038666,False
175.0,186.14999389648438,169.75,171.5,2624,-0.35057847863280084,-0.008498583569405138,False
183.0,190.75,172.0500030517578,177.0,3344,-0.345059231578208,0.04571428571428582,False
201.5,203.5,179.64999389648438,185.0,4942,-0.334272601576017,0.10109289617486339,False
236.5,237.0,191.5,205.0,8428,-0.3111466670194434,0.1736972704714641,False
226.5,248.5,206.5,237.0,4600,-0.33953823644760717,-0.04228329809725162,False
