episode_key,ticker,start_date,end_date,signal_count,avg_pump_score,avg_price,avg_drawdown,avg_return_20d,pump_count,duration_days,episode_pump_rate
ORIS_E2,ORIS,2025-06-25,2025-06-25,1,55.0,0.6299999952316284,-0.7460317497861328,-0.6682539557143162,1,0,100.0
ORIS_E1,ORIS,2025-06-16,2025-06-16,1,65.0,0.9660000205039978,-0.445134573525382,-0.3778467927426225,1,0,100.0
OPI_E3,OPI,2025-07-24,2025-07-24,1,110.0,0.3226000070571899,-0.3174209628755083,-0.3174209628755083,1,0,100.0
OPI_E2,OPI,2025-07-08,2025-07-08,1,55.0,0.3296000063419342,-0.312196636370352,-0.2612257597308966,1,0,100.0
MODD_E3,MODD,2025-09-12,2025-09-12,1,80.0,0.75,-0.1600000063578287,-0.1600000063578287,1,0,100.0
ICCM_E2,ICCM,2025-07-25,2025-07-25,1,80.0,1.0700000524520874,-0.2588785570462658,-0.1747663804418341,1,0,100.0
CHGG_E3,CHGG,2025-09-03,2025-09-03,1,55.0,1.600000023841858,-0.1187500339932734,-0.0250000502914182,1,0,100.0
CHGG_E1,CHGG,2025-06-06,2025-06-06,1,120.0,1.6299999952316284,-0.2576686860817888,-0.1595091970698502,1,0,100.0
CHGG_E2,CHGG,2025-07-22,2025-07-22,1,55.0,1.7000000476837158,-0.352941180595477,-0.3235294447638162,1,0,100.0
HBIO_E2,HBIO,2025-09-16,2025-09-16,1,80.0,0.4799999892711639,-0.1250000077610216,-0.1250000077610216,1,0,100.0
CHGG_E4,CHGG,2025-09-18,2025-09-18,1,55.0,1.6799999475479126,-0.2797618595684722,-0.2499999822605218,1,0,100.0
EHGO_E1,EHGO,2025-06-04,2025-06-04,1,65.0,0.9700000286102296,-0.1855670122097346,-0.1134020732584076,1,0,100.0
EHGO_E4,EHGO,2025-10-07,2025-10-09,3,55.0,0.6263333360354105,-0.4392942322858841,-0.3841166852242883,1,2,33.33333333333333
ARBK_E1,ARBK,2025-06-30,2025-07-01,2,87.5,0.27750000357627863,-0.1562500126538393,0.23631131549389872,1,1,50.0
AZI_E2,AZI,2025-07-11,2025-07-11,1,110.0,0.3630000054836273,-0.3994490593344525,-0.3608815707449242,1,0,100.0
AZI_E1,AZI,2025-06-05,2025-06-05,1,100.0,0.4699999988079071,-0.5680851177156863,-0.5659574538239962,1,0,100.0
AZI_E3,AZI,2025-09-22,2025-09-22,1,55.0,0.2319999933242797,-0.2413792926264427,-0.2413792926264427,1,0,100.0
AIRE_E1,AIRE,2025-07-03,2025-07-03,1,55.0,0.2829999923706054,-0.4522968008101177,0.3038869179806367,1,0,100.0
XHLD_E1,XHLD,2025-06-25,2025-06-25,1,55.0,0.4079999923706054,-0.1470588321229305,-0.0073529196926737,1,0,100.0
XHLD_E2,XHLD,2025-07-29,2025-07-29,1,55.0,0.4469999969005584,-0.2863534498121887,-0.2841163421335969,1,0,100.0
