ticker,signal_date,entry_price,pump_score,volume,vol_z,vol_ratio,signal_return,gap_up,volatility,return_1d,return_5d,return_10d,return_20d,max_drawdown_20d,days_to_bottom,max_gain_20d,days_to_peak,classification
DFLI,2025-07-21,0.2669999897480011,120,94690600,4.161695350471441,9.8047399803368,0.5705881584680625,0.0588235600024102,0.453183505942403,0.9475655464155562,0.3857678613305699,-0.0187265746202743,0.0524344535844437,-0.1235954817891618,18.0,0.9475655464155562,1,likely_pump
DFLI,2025-07-22,0.5199999809265137,120,692849100,4.211654983241385,16.00796228783964,0.947565546415556,0.5580525243377119,0.5115384843613234,-0.2173076535117682,-0.2634615375798129,-0.4923076764366325,-0.4153846127394387,-0.5499999885375679,17.0,0.0,0,confirmed_pump
DFLI,2025-10-02,1.0700000524520874,120,391522000,3.583449992979417,8.906497157758642,0.7863106733514091,0.200333905097357,0.4252336080196967,0.766355040229791,0.2149531669060322,0.2429906333812064,0.0280373550646287,0.0,,0.8411214318126796,13,likely_legit
DFLI,2025-09-26,0.5239999890327454,120,186283000,4.221155016240749,13.471244800930272,0.386243389580619,0.2142857193504011,0.2576335744869394,0.2519084577286467,2.606870277199141,1.0801527789926837,1.4427480881297916,0.0,,2.7595421180192465,19,likely_legit
CIGL,2025-09-04,2.9100000858306885,120,133524700,4.248528662242436,19.90395694981702,0.9795918565946335,1.4965986417476778,0.7319586984418767,0.4570445519103185,0.2920961785435574,0.0240549591677471,0.5463917069663695,-0.1855670736578202,21.0,1.0962198366709883,4,likely_pump
PCSA,2025-10-07,0.3600000143051147,120,215559000,4.149423293367425,13.836603943989608,0.2903225668621478,0.4157705749026916,0.5666666319789024,0.3305555086444944,0.0999999503294646,-0.1666666666666666,,-0.2277778164104163,15.0,0.3305555086444944,1,insufficient_data
BYND,2025-10-20,1.4700000286102295,120,1202828700,3.9390675377627713,10.23799275441822,1.2755417425334112,0.5789472704014306,0.4414965822856668,1.462584908233988,0.2312924541169941,-0.0544217968423973,,-0.0544217968423973,14.0,1.462584908233988,1,insufficient_data
BYND,2025-10-21,3.619999885559082,120,2071569300,3.5954878018839143,9.37571142874115,1.462584908233988,0.5714285015300561,0.533149173488631,-0.0110497135683885,-0.454419865668909,,,-0.6160220912603123,13.0,0.0,0,insufficient_data
CIGL,2025-10-02,4.5,120,50163400,3.929336010009217,11.50878529287942,0.7509728081284224,0.4941634293468164,0.4266666305441554,-0.115555551317003,-0.3555555343627929,-0.4377777841356065,-0.3666666878594292,-0.4377777841356065,14.0,0.0,0,confirmed_pump
MOBX,2025-07-21,1.1799999475479126,120,5182800,4.09555701963136,10.18061816788943,0.3704993560829239,0.1265970114657637,0.3220339083058857,-0.0254237056977092,-0.1101694923815663,-0.3050847209345766,-0.2305084468372511,-0.3059321676886843,11.0,0.0084746695907292,2,likely_pump
VSEE,2025-10-28,1.059999942779541,120,337745200,3.275418606457282,9.991938291988852,0.715210344126179,2.8673142629865507,1.4056604609090748,0.3018868582322566,,,,-0.0801886071001056,3.0,0.3018868582322566,1,insufficient_data
ATCH,2025-09-15,0.9900000095367432,120,498117700,3.6814946915632976,11.05975854125614,1.538461656024945,1.3076923278519317,0.5151514398288825,-0.126262625046329,-0.4202020248239496,-0.2646464866614439,-0.588888887550962,-0.633333331326443,23.0,0.6363636254169616,2,confirmed_pump
PFSA,2025-09-11,0.460999995470047,120,279371400,3.9919031383680816,13.594807945163616,0.7396227183228288,1.0603774801066266,0.4273319483977061,-0.1453362306448944,-0.2624728700276748,-0.3449024096761742,-0.2668112736562401,-0.3622559595433146,18.0,0.0,0,confirmed_pump
ATCH,2025-07-31,0.2199999988079071,120,291442900,4.248040130402845,17.71013792611025,0.4666666004392863,0.1666665993281756,0.768181817768835,-0.2772727488239935,-0.163636357478859,-0.0227272511760064,-0.1136363913451346,-0.2772727488239935,1.0,0.0863636086548653,15,confirmed_pump
ATCH,2025-09-12,0.3899999856948852,120,281071800,4.230468721509673,13.251662340546256,0.5354329655445271,0.1062991308790292,0.3974359140513419,1.538461656024945,1.3512821265226314,1.0256411549607725,0.0512820806729028,-0.0692307210297726,26.0,3.1538463184349226,5,likely_legit
MBRX,2025-07-08,0.5210000276565552,120,92491800,3.8909274873946185,9.394245945896532,0.3393316955590861,0.1285347351574926,0.5182340999533773,0.0978886685970486,0.2072936174983669,0.489443342985243,0.3147792054163573,0.0,,0.6046064892408474,9,likely_legit
XHLD,2025-10-28,0.4250000119209289,120,844910400,4.24685066922401,18.90504465811524,0.5178571789696507,0.7250000266808521,1.11294111907338,-0.1694118227843166,,,,-0.3058824032648198,3.0,0.0,0,insufficient_data
OPI,2025-09-11,0.3086999952793121,120,14040513,4.221607054938488,10.288954811191196,0.2240284939499632,0.0705789163147697,0.1820537685159156,0.7858762476645434,0.4460641191135223,0.4353741890645073,-0.7664399102821683,-0.7696793078910121,27.0,1.8506641033000448,4,likely_pump
OPI,2025-09-12,0.5512999892234802,120,329776544,4.245006829122108,18.485512730045983,0.7858762476645433,0.3605441948465773,0.7525848217329937,0.5962271221356822,-0.2925811838955231,-0.2485035320050352,-0.8801015733226342,-0.8801015733226342,28.0,0.5962271221356822,3,confirmed_pump
VSEE,2025-10-21,0.9449999928474426,120,263334900,4.16049293626454,16.462932833196575,0.9364753734191258,0.1905736961411066,0.4603174658373708,-0.2645502665526041,0.121693069632291,,,-0.3460317718619274,6.0,0.4603174663244792,8,insufficient_data
