ticker,tier,alert_date,pump_score,alert_price,volume,vol_z,daily_return,days_since_last,status,return_1d,return_5d,return_10d,max_drawdown,days_to_bottom,days_since_alert,last_updated,outcome
AIRE,tier1,2025-12-23,65.0,0.5070000290870667,55985800.0,3.7556170544252905,0.09267250792202275,102.0,OVERDUE,,,,,,0,,pending
EHGO,tier1,2025-12-23,55.0,0.2329999953508377,287500.0,3.566313460434974,-0.07539685871700763,75.0,OVERDUE,,,,,,0,,pending
RVPH,tier1,2025-12-23,55.0,0.3199999928474426,55370300.0,4.170129183954227,-0.4576271066580715,,NEW,,,,,,0,,pending
