ticker,tier,date,pump_score,close,volume,vol_z,return,days_since_last,status
FEMY,tier1,2025-11-07,65.0,1.0399999618530273,15288400.0,0.009397831945425136,0.331626040619992,32,OVERDUE
AZI,tier2,2025-11-07,65.0,0.0949999988079071,310741600.0,3.9584024941219766,-0.04040404724571223,46,OVERDUE
PRPL,tier1,2025-11-07,55.0,0.8299999833106995,1275200.0,1.0662445562402159,0.18571428206502172,107,OVERDUE
