ticker,tier,alert_date,pump_score,alert_price,volume,vol_z,daily_return,days_since_last,status,return_1d,return_5d,return_10d,max_drawdown,days_to_bottom,days_since_alert,last_updated,outcome
AZI,tier1,2025-12-16,120.0,1.8700000047683716,36378458.0,4.110135578031097,0.21428574746084217,85.0,OVERDUE,,,,,,0,,pending
PCSA,tier1,2025-12-16,75.0,3.002500057220459,300090.0,-0.46980814997225506,20.219082248514727,69.0,OVERDUE,,,,,,0,,pending
CYN,tier1,2025-12-16,55.0,2.950000047683716,6307313.0,4.207107059550874,-0.0866872971319943,,NEW,,,,,,0,,pending
