ticker,tier,alert_date,pump_score,alert_price,volume,vol_z,daily_return,days_since_last,status,outcome,return_1d,return_5d,return_10d,max_drawdown,days_to_bottom,days_since_alert,last_updated
PRPL,tier1,2025-11-07,55.0,0.8299999833106995,1275200.0,1.06501734568027,0.1857142820650217,107,OVERDUE,pending,-0.08072285929375389,,,-0.08072285929375389,2025-11-10,3,2025-11-10 20:56:59
FEMY,tier1,2025-11-07,65.0,1.0399999618530271,15288400.0,0.0090498395995835,0.331626040619992,32,OVERDUE,pending,2.1350443564382617e-16,,,2.1350443564382617e-16,2025-11-07,3,2025-11-10 20:56:59
AZI,tier1,2025-11-07,65.0,0.0949999988079071,310741600.0,3.9584024941219766,-0.0404040472457122,46,OVERDUE,pending,0.052631607841587165,,,0.0,2025-11-07,3,2025-11-10 20:56:59
